dish,total_score
AmericanFriedRice,1636.3236275
ApplePie,390.75174262734583
ChickenPorridge,887.141175510204
ChocolateCake,191.8383158619659
ChocolateIcecream,346.63958923512746
CrispyCrab,1440.4776712468195
EggRolls,644.4501197604791
FishCake,175.1065792682927
FriedCalamari,514.5846315789474
FriedShrimpBall,1825.4915151515152
GlassNoodlesSoup,631.5730627306275
GreenChickenCurry,337.02406779661015
GrilledShrimp,2180.7418699186996
HainaneseChickenRice,1116.7510082378224
HerbChicken,593.4452339622641
KaiPalo,150.3
KanomJeenNamYa,101.13322500000001
KanomKrok,156.58570588235293
KhanomMawKaeng,183.244
LodChongThai,34.49280833333333
MangoStickyRice,69.11999999999999
MiangKham,283.8005346871693
OnionSoup,1087.9857
PadKrapow,815.8651973392459
PadThai,295.15333521809373
Pudding,196.25788235294115
SaladRoll,1429.6857408536587
SausageFriedRice,967.6575439814815
ShrimpCake,11627.568218749999
ShrimpDumpling,512.90162057612
ShrimpFriedRice,1098.203448687351
ShrimpGlassNoodles,1171.5529032258066
ShrimpStickyRice,3956.84002016129
TomJuedMooSap,202.1706451612903
TomKhaGai,998.6056287878789
TomYumKung,3527.7473626984124
VanillaIceCream,380.8588235294117
